what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1523927062407
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1523927062407
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.help.ui",1523927062407
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1523927062407
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1523927062407
stopped,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1523927062408
stopped,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1523927062408
stopped,bundle,org.eclipse.emf.compare.ui,1.0.1.v200909161031,"org.eclipse.emf.compare.ui",1523927062409
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1523927062409
stopped,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1523927062443
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1523927062477
stopped,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1523927062478
stopped,bundle,org.eclipse.jet.ui,1.0.0.v200906120900,"org.eclipse.jet.ui",1523927062478
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,2.0.0.v20090526-1940,"org.eclipse.m2m.qvt.oml.runtime.ui",1523927062479
stopped,bundle,org.eclipse.m2m.qvt.oml.common.ui,2.0.0.v20090526-1940,"org.eclipse.m2m.qvt.oml.common.ui",1523927062479
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1523927062480
stopped,bundle,net.sourceforge.texlipse,1.4.1,"net.sourceforge.texlipse",1523927062480
stopped,bundle,org.eclipse.m2m.atl.core.ui.vm,3.0.2.v201001190421,"org.eclipse.m2m.atl.core.ui.vm",1523927062481
stopped,bundle,org.eclipse.m2m.atl.adt.debug,3.0.2.v201001190421,"org.eclipse.m2m.atl.adt.debug",1523927062481
stopped,bundle,org.eclipse.m2m.atl.adt.editor,3.0.2.v201001190421,"org.eclipse.m2m.atl.adt.editor",1523927062482
stopped,bundle,org.eclipse.m2m.atl.adt.ui,3.0.2.v201001190421,"org.eclipse.m2m.atl.adt.ui",1523927062482
stopped,bundle,org.eclipse.m2m.atl.core.ui,3.0.2.v201001190421,"org.eclipse.m2m.atl.core.ui",1523927062482
stopped,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1523927062484
stopped,bundle,org.eclipse.gmf.xpand.editor,2.0.0.v20090520-1343,"org.eclipse.gmf.xpand.editor",1523927062484
stopped,bundle,org.eclipse.emf.validation.ui.ide,1.3.0.v200901271722,"org.eclipse.emf.validation.ui.ide",1523927062485
stopped,bundle,org.eclipse.emf.validation.ui,1.3.0.v200901271722,"org.eclipse.emf.validation.ui",1523927062485
stopped,bundle,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.editor",1523927062485
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.9.0.v200906221231,"org.eclipse.emf.ecoretools.diagram",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.activity,0.9.0.v200906190654,"org.eclipse.uml2.diagram.activity",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.clazz,0.9.0.v200906190654,"org.eclipse.uml2.diagram.clazz",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.component,0.9.0.v200906190654,"org.eclipse.uml2.diagram.component",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.csd,0.9.0.v200906190654,"org.eclipse.uml2.diagram.csd",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.profile,0.9.0.v200906190654,"org.eclipse.uml2.diagram.profile",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.sequence,0.9.0.v200906190654,"org.eclipse.uml2.diagram.sequence",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.statemachine,0.9.0.v200906190654,"org.eclipse.uml2.diagram.statemachine",1523927062485
stopped,bundle,org.eclipse.uml2.diagram.usecase,0.9.0.v200906190654,"org.eclipse.uml2.diagram.usecase",1523927062485
stopped,bundle,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram",1523927062485
stopped,bundle,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram",1523927062485
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.providers.ide,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.providers.ide",1523927062485
stopped,bundle,org.eclipse.gmf.runtime.common.ui.action.ide,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.common.ui.action.ide",1523927062485
stopped,bundle,org.eclipse.emf.ecoretools.filters,0.8.0.v200906221231,"org.eclipse.emf.ecoretools.filters",1523927062485
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.geoshapes,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.diagram.ui.geoshapes",1523927062486
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.3.0.v20091126-1420,"org.eclipse.gmf.runtime.diagram.ui.render",1523927062486
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.ui.printing.render",1523927062486
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing,1.3.0.v20091021-2333,"org.eclipse.gmf.runtime.diagram.ui.printing",1523927062486
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.providers,1.3.0.v20091126-1420,"org.eclipse.gmf.runtime.diagram.ui.providers",1523927062486
